id,child_id,attendance_date,check_in_at,check_out_at,planned_pickup_time,pickup_person,note,created_at,updated_at
1,81,2026-04-13,2026-04-13T09:02:00,2026-04-13T18:10:00,18:10,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
2,37,2026-04-13,2026-04-13T08:52:00,2026-04-13T16:44:00,16:44,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
3,82,2026-04-13,2026-04-13T09:07:00,2026-04-13T18:19:00,18:19,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
4,19,2026-04-13,2026-04-13T09:07:00,2026-04-13T16:37:00,16:37,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
5,59,2026-04-13,2026-04-13T08:57:00,2026-04-13T17:27:00,17:27,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
6,20,2026-04-13,2026-04-13T07:27:00,2026-04-13T16:46:00,16:46,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
7,60,2026-04-13,2026-04-13T09:02:00,2026-04-13T17:36:00,17:36,父,少し早めのお迎え予定。,2026-04-13T07:00:00,2026-04-13T18:30:00
8,7,2026-04-13,2026-04-13T08:07:00,2026-04-13T17:24:00,17:24,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
9,38,2026-04-13,2026-04-13T08:57:00,2026-04-13T16:53:00,16:53,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
10,8,2026-04-13,2026-04-13T08:12:00,2026-04-13T17:33:00,17:33,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
11,39,2026-04-13,2026-04-13T09:02:00,2026-04-13T17:02:00,17:02,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
12,1,2026-04-13,2026-04-13T07:37:00,2026-04-13T16:30:00,16:30,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
13,21,2026-04-13,2026-04-13T07:32:00,2026-04-13T16:55:00,16:55,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
14,2,2026-04-13,2026-04-13T07:42:00,2026-04-13T16:39:00,16:39,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
15,61,2026-04-13,2026-04-13T09:07:00,2026-04-13T17:45:00,17:45,祖母,,2026-04-13T07:00:00,2026-04-13T18:30:00
16,3,2026-04-13,2026-04-13T07:47:00,2026-04-13T16:48:00,16:48,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
17,83,2026-04-13,2026-04-13T07:27:00,2026-04-13T18:28:00,18:28,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
18,40,2026-04-13,2026-04-13T09:07:00,2026-04-13T17:11:00,17:11,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
19,84,2026-04-13,2026-04-13T07:32:00,2026-04-13T18:37:00,18:37,父,,2026-04-13T07:00:00,2026-04-13T18:30:00
20,22,2026-04-13,2026-04-13T07:37:00,2026-04-13T17:04:00,17:04,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
21,62,2026-04-13,2026-04-13T07:27:00,2026-04-13T17:54:00,17:54,保護者,,2026-04-13T07:00:00,2026-04-13T18:30:00
22,23,2026-04-13,2026-04-13T07:42:00,2026-04-13T17:13:00,17:13,母,,2026-04-13T07:00:00,2026-04-13T18:30:00
