id,child_id,target_date,status,updated_by_name,created_at
1,81,2026-04-13,present,担任A,2026-04-13T09:45:00
2,37,2026-04-13,present,担任A,2026-04-13T09:45:00
3,82,2026-04-13,present,担任B,2026-04-13T09:45:00
4,19,2026-04-13,present,園長,2026-04-13T09:45:00
5,59,2026-04-13,present,園長,2026-04-13T09:45:00
6,20,2026-04-13,present,主任,2026-04-13T09:45:00
7,60,2026-04-13,present,主任,2026-04-13T09:45:00
8,7,2026-04-13,present,園長,2026-04-13T09:45:00
9,38,2026-04-13,present,担任B,2026-04-13T09:45:00
10,8,2026-04-13,present,主任,2026-04-13T09:45:00
11,39,2026-04-13,present,園長,2026-04-13T09:45:00
12,1,2026-04-13,present,担任A,2026-04-13T09:45:00
13,21,2026-04-13,present,担任A,2026-04-13T09:45:00
14,2,2026-04-13,present,担任B,2026-04-13T09:45:00
15,61,2026-04-13,present,担任A,2026-04-13T09:45:00
16,3,2026-04-13,present,園長,2026-04-13T09:45:00
17,83,2026-04-13,present,園長,2026-04-13T09:45:00
18,40,2026-04-13,present,主任,2026-04-13T09:45:00
19,84,2026-04-13,present,主任,2026-04-13T09:45:00
20,22,2026-04-13,present,担任B,2026-04-13T09:45:00
21,62,2026-04-13,present,担任B,2026-04-13T09:45:00
22,23,2026-04-13,present,園長,2026-04-13T09:45:00
23,63,2026-04-13,present,園長,2026-04-13T09:45:00
24,9,2026-04-13,present,担任A,2026-04-13T09:45:00
25,41,2026-04-13,present,担任A,2026-04-13T09:45:00
26,10,2026-04-13,present,担任B,2026-04-13T09:45:00
27,42,2026-04-13,present,担任B,2026-04-13T09:45:00
28,4,2026-04-13,present,主任,2026-04-13T09:45:00
29,24,2026-04-13,present,主任,2026-04-13T09:45:00
30,5,2026-04-13,present,担任A,2026-04-13T09:45:00
31,64,2026-04-13,present,主任,2026-04-13T09:45:00
32,6,2026-04-13,present,担任B,2026-04-13T09:45:00
33,11,2026-04-13,present,園長,2026-04-13T09:45:00
34,12,2026-04-13,present,主任,2026-04-13T09:45:00
35,13,2026-04-13,present,担任A,2026-04-13T09:45:00
36,14,2026-04-13,present,担任B,2026-04-13T09:45:00
37,15,2026-04-13,present,園長,2026-04-13T09:45:00
38,16,2026-04-13,private_absent,主任,2026-04-13T09:45:00
39,17,2026-04-13,present,担任A,2026-04-13T09:45:00
40,18,2026-04-13,present,担任B,2026-04-13T09:45:00
41,25,2026-04-13,present,担任A,2026-04-13T09:45:00
