id,answer_id,question_id,value_text,value_option_ids,value_scale,value_bool,value_date,created_at,updated_at
1,1,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
2,1,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
3,2,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
4,2,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
5,3,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
6,3,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
7,4,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
8,4,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
9,5,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
10,5,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
11,6,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
12,6,2,,[2],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
13,7,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
14,7,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
15,8,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
16,8,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
17,8,3,朝の確認が一画面で済むと助かります。,,,,,2026-05-10T20:00:00,2026-05-10T20:00:00
18,9,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
19,9,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
20,10,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
21,10,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
22,11,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
23,11,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
24,12,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
25,12,2,,[2],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
26,13,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
27,13,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
28,14,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
29,14,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
30,15,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
31,15,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
32,15,3,朝の確認が一画面で済むと助かります。,,,,,2026-05-10T20:00:00,2026-05-10T20:00:00
33,16,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
34,16,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
35,17,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
36,17,2,,[2],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
37,18,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
38,18,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
39,19,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
40,19,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
41,20,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
42,20,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
43,21,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
44,21,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
45,22,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
46,22,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
47,22,3,朝の確認が一画面で済むと助かります。,,,,,2026-05-10T20:00:00,2026-05-10T20:00:00
48,23,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
49,23,2,,[2],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
50,24,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
51,24,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
52,25,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
53,25,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
54,26,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
55,26,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
56,27,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
57,27,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
58,28,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
59,28,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
60,29,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
61,29,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
62,29,3,朝の確認が一画面で済むと助かります。,,,,,2026-05-10T20:00:00,2026-05-10T20:00:00
63,30,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
64,30,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
65,31,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
66,31,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
67,32,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
68,32,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
69,33,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
70,33,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
71,34,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
72,34,2,,[2],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
73,35,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
74,35,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
75,36,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
76,36,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
77,37,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
78,37,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
79,38,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
80,38,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
81,39,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
82,39,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
83,40,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
84,40,2,,[2],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
85,41,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
86,41,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
87,42,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
88,42,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
89,43,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
90,43,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
91,44,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
92,44,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
93,44,3,朝の確認が一画面で済むと助かります。,,,,,2026-05-10T20:00:00,2026-05-10T20:00:00
94,45,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
95,45,2,,[2],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
96,46,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
97,46,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
98,47,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
99,47,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
100,48,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
101,48,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
102,49,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
103,49,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
104,50,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
105,50,2,,[1],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
106,51,1,,,5,,,2026-05-10T20:00:00,2026-05-10T20:00:00
107,51,2,,[2],,,,2026-05-10T20:00:00,2026-05-10T20:00:00
108,51,3,朝の確認が一画面で済むと助かります。,,,,,2026-05-10T20:00:00,2026-05-10T20:00:00
109,52,1,,,4,,,2026-05-10T20:00:00,2026-05-10T20:00:00
